id;Type;Storm-static;Storm-staticshifted;other;othershifted
bluetooth.1.time;dtmc;4000;4000;4000;4000
coupon.9-4-5.collect_all_bounded;dtmc;4000;4000;4000;4000
coupon.9-4-5.exp_draws;dtmc;4000;4000;4000;4000
coupon.15-4-5.collect_all_bounded;dtmc;4000;4000;4000;4000
coupon.15-4-5.exp_draws;dtmc;4000;4000;4000;4000
crowds.5-20.positive;dtmc;64.5777235031128;64.5777235031128;4000;4000
crowds.6-20.positive;dtmc;398.2325966358185;398.2325966358185;4000;4000
egl.10-2.messagesB;dtmc;4000;4000;4000;4000
egl.10-2.unfairA;dtmc;4000;4000;4000;4000
egl.10-8.messagesB;dtmc;4000;4000;4000;4000
egl.10-8.unfairA;dtmc;4000;4000;4000;4000
haddad-monmege.100-0.7.exp_steps;dtmc;0.0743565559387207;1;4000;4000
haddad-monmege.100-0.7.target;dtmc;0.05805468559265137;1;4000;4000
herman.15.steps;dtmc;4000;4000;4000;4000
nand.40-4.reliable;dtmc;85.08009696006775;85.08009696006775;4000;4000
nand.60-4.reliable;dtmc;1361.8617415428162;1361.8617415428162;4000;4000
oscillators.8-10-0.1-1-0.1-1.0.power_consumption;dtmc;363.5332942008972;363.5332942008972;4000;4000
oscillators.8-10-0.1-1-0.1-1.0.time_to_synch;dtmc;362.5325975418091;362.5325975418091;4000;4000
cluster.128-2000-20.premium_steady;ctmc;4000;4000;4000;4000
embedded.8-12.actuators;ctmc;0.6837470531463623;1;4000;4000
embedded.8-12.up_time;ctmc;0.6911580562591553;1;4000;4000
fms.8.productivity;ctmc;4000;4000;4000;4000
kanban.5.throughput;ctmc;4000;4000;4000;4000
mapk_cascade.4-30.activated_time;ctmc;4000;4000;4000;4000
philosophers.16-1.MaxPrReachDeadlock;ctmc;152.66473937034607;152.66473937034607;4000;4000
philosophers.16-1.MinExpTimeDeadlock;ctmc;4000;4000;4000;4000
philosophers.20-1.MaxPrReachDeadlock;ctmc;4000;4000;4000;4000
philosophers.20-1.MinExpTimeDeadlock;ctmc;4000;4000;4000;4000
polling.18-16.s1_before_s2;ctmc;4000;4000;4000;4000
beb.4-8-7.LineSeized;mdp;432.9323706626892;432.9323706626892;4000;4000
beb.5-16-15.LineSeized;mdp;4000;4000;4000;4000
consensus.4-4.disagree;mdp;12.492045164108276;12.492045164108276;4000;4000
consensus.4-4.steps_min;mdp;4.3939149379730225;4.3939149379730225;4000;4000
consensus.6-2.disagree;mdp;4000;4000;4000;4000
consensus.6-2.steps_min;mdp;4000;4000;4000;4000
csma.3-4.all_before_max;mdp;35.676105976104736;35.676105976104736;4000;4000
csma.3-4.time_max;mdp;76.26245617866516;76.26245617866516;4000;4000
csma.4-2.all_before_max;mdp;21.602163314819336;21.602163314819336;4000;4000
csma.4-2.time_max;mdp;26.949522972106934;26.949522972106934;4000;4000
eajs.5-250-11.ExpUtil;mdp;140.55977034568787;140.55977034568787;4000;4000
eajs.6-300-13.ExpUtil;mdp;435.64355516433716;435.64355516433716;4000;4000
echoring.100.MaxOffline1;mdp;180.4610435962677;180.4610435962677;4000;4000
elevators.b-11-9.goal;mdp;29.50862407684326;29.50862407684326;4000;4000
exploding-blocksworld.10.goal;mdp;4000;4000;4000;4000
firewire.false-36-800.deadline;mdp;296.93585109710693;296.93585109710693;4000;4000
pacman.100.crash;mdp;832.8982346057892;832.8982346057892;4000;4000
pacman.60.crash;mdp;361.30269408226013;361.30269408226013;4000;4000
pnueli-zuck.5.live;mdp;11.480687618255615;11.480687618255615;4000;4000
pnueli-zuck.10.live;mdp;4000;4000;4000;4000
rabin.10.live;mdp;4000;4000;4000;4000
rectangle-tireworld.11.goal;mdp;23.05221939086914;23.05221939086914;4000;4000
resource-gathering.1300-100-100.expgold;mdp;4000;4000;4000;4000
resource-gathering.1300-100-100.expsteps;mdp;120.4232223033905;120.4232223033905;4000;4000
resource-gathering.1300-100-100.prgoldgem;mdp;4000;4000;4000;4000
tireworld.45.goal;mdp;4000;4000;4000;4000
triangle-tireworld.441.goal;mdp;4000;4000;4000;4000
wlan.4-0.sent;mdp;6.945496559143066;6.945496559143066;4000;4000
wlan.4-0.cost_min;mdp;9.781537294387817;9.781537294387817;4000;4000
wlan.5-0.sent;mdp;26.445937395095825;26.445937395095825;4000;4000
wlan.5-0.cost_min;mdp;36.902015209198;36.902015209198;4000;4000
wlan.6-0.sent;mdp;107.17447090148926;107.17447090148926;4000;4000
wlan.6-0.cost_min;mdp;148.90492415428162;148.90492415428162;4000;4000
zenotravel.4-2-2.goal;mdp;41.70446443557739;41.70446443557739;4000;4000
zeroconf.1000-8-false.correct_max;mdp;4000;4000;4000;4000
zeroconf.1000-8-false.correct_min;mdp;55.254512548446655;55.254512548446655;4000;4000
cabinets.3-2-true.Unavailability;ma;8000;8000;4000;4000
dpm.6-6-5.PminQueue1Full;ma;4000;4000;4000;4000
ftpp.2-2-true.Unavailability;ma;4000;4000;4000;4000
ftwc.8-5.TimeMax;ma;4000;4000;4000;4000
ftwc.8-5.TimeMin;ma;4000;4000;4000;4000
readers-writers.40.exp_time_many_requests;ma;4000;4000;4000;4000
sms.3-true.Unavailability;ma;54.872095823287964;54.872095823287964;4000;4000
stream.1000.exp_buffertime;ma;33.76974010467529;33.76974010467529;4000;4000
stream.1000.pr_underrun;ma;8.219969749450684;8.219969749450684;4000;4000
vgs.5-10000.MinExpTimeFailed;ma;0.21421051025390625;1;4000;4000
firewire-pta.30-5000.eventually;pta;264.89034962654114;264.89034962654114;4000;4000
wlan-large.2.E_or;pta;149.65225505828857;149.65225505828857;4000;4000
wlan-large.2.P_max;pta;24.922232151031494;24.922232151031494;4000;4000
zeroconf-pta.200.incorrect;pta;0.3880298137664795;1;4000;4000
